name,website,investor_count,funding_count,funding_last_type,funding_last_date,valuation_date,revenue_year,funding_total_numeric_millions,funding_last_numeric_millions,valuation_numeric_millions,revenue_total_numeric_millions
EVMatch,https://evmatch.com,1,1,Grant,2018-04-10,,,0.05,0.05,,
SecFi,https://secfi.com,8,3,Line of Credit,2020-01-14,,,557.0,550.0,,
Corti,https://corti.ai,12,6,Series B,2023-09-20,,,87.16,60.0,,
Groyyo,https://groyyo.com,18,4,Debt - II,2024-01-18,,2023,50.0,5.4,,192.33
EndoSpan,https://endospan.com,4,4,Loan,2024-07-02,,,10.0,13.0,,
SpotOn,https://spoton.com,16,10,Series F,2022-05-18,2021-09,,900.0,300.0,3150.0,
Tracksmith,https://tracksmith.com,9,4,Unattributed VC,2017-01-01,,,5.7,13.0,,
Kinara Capital,https://kinaracapital.com,13,11,Debt - IV,2024-05-03,,,158.99,24.4,,
Allium,https://alliumit.com,1,5,Other Investors,,,,26.0,13.0,,
TXOne Networks,https://txone.com,19,4,Series B - II,2024-05-07,,,144.69,51.0,,
GameTree,https://gametree.me,13,5,Seed VC - II,2023-12-04,,,2.35,1.7,,
FloCareer,https://flocareer.com,5,2,Series A,2021-10-12,,,5.85,5.7,,
Atakama,https://atakama.com,2,2,Loan,2020-04-07,,,0.68,0.68,,
Ogury,https://ogury.com,4,5,Series C,2019-12-05,,2018,91.5,50.0,,100.24
Movable Ink,https://movableink.com,22,6,Series D,2022-04-28,,,97.56,55.0,,
RudderStack,https://rudderstack.com,6,4,Series B,2022-02-02,,,82.0,56.0,,
Atrato,https://atratoinc.com,6,3,Dead,2010-12-22,,,18.0,13.0,,
Veremark,https://veremark.com,11,4,Series A,2024-04-11,,,14.18,3.0,,
Censinet,https://censinet.com,9,5,Series B,2023-01-11,,,19.98,9.0,,
Flex Finance,https://flexfinance.ai,13,5,Seed VC - III,2023-04-01,,,1.01,13.0,,
Popsa,https://popsa.com,6,3,Series B,2022-02-03,,,17.59,12.24,,
Chattermill,https://chattermill.com,15,6,Series B,2022-12-06,,2019,34.8,26.0,,1.93
CrowdSec,https://crowdsec.net,4,4,Incubator/Accelerator,2023-03-22,,,20.59,13.0,,
Mercor,https://mercor.com,10,2,Series A,2024-09-18,,,35.6,32.0,,
Cordial,https://cordial.com,6,4,Series C,2022-07-26,,,71.12,50.0,,
GroMo,https://gromo.in,18,5,Series A,2022-09-06,,,11.73,11.0,,
Crossbeam,https://crossbeamcapital.com,1,5,Other Investors,,,,26.0,13.0,,
Highline,https://highlinedobrasil.com,2,5,Acquired,2019-12-10,,,26.0,13.0,,
FreshMenu,https://freshmenu.com,8,7,Unattributed VC - III,2022-05-05,2019-08,2020,32.56,7.0,50.0,19.53
Causaly,https://causaly.com,14,5,Series B - II,2023-07-13,,,90.72,60.0,,
Lakera,https://lakera.ai,7,3,Series A,2024-07-24,,,30.0,20.0,,
Abatable,https://abatable.com,7,3,Seed - II,2023-04-13,,,16.63,13.5,,
Envoy,https://envoy.com,16,7,Series C - II,2022-01-11,,,203.5,111.0,,
Nelo,https://nelo.mx,13,3,Line of Credit,2022-08-01,,,123.0,100.0,,
ARTBIO,https://artbio.com,3,2,Series A,2023-12-07,,,113.0,90.0,,
nTop,https://ntop.com,15,10,Unattributed VC,2024-09-17,2021-11,,132.24,13.0,400.0,
Fanplayr,https://fanplayr.com,2,2,Seed VC - II,2013-01-16,,,2.0,2.0,,
Upgrade,https://upgrade.com,22,9,Series F,2021-11-16,2021-08,,562.5,280.0,3325.0,
ConductorOne,https://conductorone.com,10,3,Series A - II,2023-08-08,,,32.0,12.0,,
Polycam,https://poly.cam,4,2,Series A,2024-02-07,,,18.0,18.0,,
FabHotels,https://fabhotels.com,10,8,Series C,2023-09-02,2020-01,,73.55,20.0,119.24,
Jetti Resources,https://jettiresources.com,18,9,Series D,2022-10-24,,,169.3,100.0,,
Aspinity,https://aspinity.com,11,9,Debt - II,2024-05-21,,,27.49,2.6,,
elice,https://elice.io,9,5,Series C,2024-01-17,,,26.35,14.85,,
Yassir,https://yassir.com,22,7,Incubator/Accelerator,2023-04-11,,,193.4,13.0,,
Sightline Payments,https://sightlinepayments.com,10,12,Private Equity - II,2022-10-20,2021-08,2020,359.48,13.0,1000.0,35.4
Knowledgehook,https://knowledgehook.com,10,5,Series A,2020-10-15,,,15.9,14.5,,
NLX,https://nlxcorp.com,2,5,Acquired,2003-10-17,,,26.0,13.0,,
Visier,https://visier.com,5,5,Series E,2021-06-29,,,216.5,125.0,,
Cleanwatts,https://cleanwatts.energy,1,1,Private Equity,2022-06-28,,,26.1,26.1,,
Tickitto,https://tickitto.com,10,4,Incubator/Accelerator - II,2022-05-13,,,5.18,13.0,,
Unisound,https://unisound.com,15,9,Series D - II,2021-06-24,2019-04,2017,339.11,60.0,1191.94,15.12
EGYM,https://egym.com,11,8,Series G,2024-09-24,2023-07,2022,609.14,200.0,652.0,130.0
Coast,https://coastfashion.com,2,5,Asset Sale,2019-08-06,,,26.0,13.0,,
ANKA,https://anka.africa,20,9,Dead,2024-03-20,,,17.36,13.0,,
Cyolo,https://cyolo.io,7,4,Unattributed VC,2022-10-12,,,85.2,13.0,,
HYPR,https://hypr.com,15,10,Private Equity,2024-06-05,,,123.15,30.0,,
Cogni,https://getcogni.com,18,6,Series A,2022-04-26,,,30.1,23.0,,
Boldin,https://boldin.com,13,6,Series A - II,2023-07-07,,,25.0,15.0,,
