name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Aria,https://ariawearable.com,1,1,20K,Seed,0.02M,"January 1, 2015",,,,
Clean Crop Technologies,https://cleancroptech.com,18,10,15.98M,Corporate Minority,,"September 6, 2024",,,,
Ada,https://ada.cx,13,8,190.73M,Series C,130M,"May 7, 2021",,,,
Crux,https://crux.la,1,1,180K,Seed VC,0.18M,"December 3, 2014",,,,
IntSights,https://intsights.com,9,6,71.3M,Acquired,,"July 19, 2021",,,2018,10M
Oyster,https://oysterbooks.com,10,4,17M,Acq - Talent,,"September 22, 2015",,,,
Enjoei,https://enjoei.com.br,4,4,14.98M,Unattributed,,"January 29, 2024",,,,
Hohm Energy,https://hohmenergy.com,9,4,8M,Bankrupt/Liquidation,,"September 16, 2024",,,,
micro1,https://micro1.ai,7,2,3.3M,Pre-Seed,3.3M,"October 20, 2023",,,,
Matcherino,https://matcherino.com,10,5,7.09M,Series A - III,1.5M,"August 5, 2019",,,,
Swimply,https://swimply.com,15,3,51.2M,Series A,40M,"December 15, 2021",,,,
Cybrary,https://cybrary.it,10,7,47.7M,Series C,25M,"August 2, 2022",,,,
Viam,https://viam.com,4,3,87M,Series B,45M,"March 26, 2024",,,,
AllWork,https://allworknow.com,7,4,5.9M,Series A,4.9M,"December 1, 2022",$6M,January 2020,,
thatgamecompany,https://thatgamecompany.com,6,4,172.5M,Series D,160M,"March 3, 2022",,,,
Hush,https://shophush.com,2,4,42.6M,Series B,35M,"April 18, 2018",,,,
OnePulse,https://onepulse.com,7,5,9.1M,Series A - III,0.51M,"February 23, 2023",,,,
BioRaptor,https://bioraptor.ai,7,4,3.01M,Seed VC - II,,"April 24, 2024",,,,
Covercy,https://covercy.com,3,2,1.5M,Seed VC,1.5M,"February 15, 2016",,,,
Tenstorrent,https://tenstorrent.com,11,6,327.15M,Corporate Minority,1.45M,"May 30, 2024","$1,000M",May 2021,2020,25M
Watershed Health,https://watershedhealth.com,9,3,24.52M,Series B,13.6M,"May 14, 2024",,,,
Bitmama,https://bitmama.io,18,3,2M,Pre-Seed - II,1.65M,"September 9, 2022",,,,
Saildrone,https://saildrone.com,13,6,180M,Series C,100M,"October 18, 2021",,,,
Argyle,https://argylesp.com,1,,,Other Investors,,,,,,
Linq,https://linqhome.com,1,1,20K,Seed,0.02M,"November 20, 2014",,,,
Black Sesame Technologies,https://bst.ai,22,10,615M,IPO,132.98M,"August 8, 2024","$2,000M",September 2021,,
Enough,https://litt.ly/enough,1,1,100K,Seed,0.1M,"May 1, 2022",,,,
Cube Group,https://cubegroup.pl,1,,,Other Investors,,,,,,
YOOBIC,https://yoobic.com,4,4,80.3M,Incubator/Accelerator,,"June 8, 2023",$400M,July 2021,,
Phenom,https://trainphenom.com,1,,,Other Investors,,,,,,
Callsign,https://callsign.com,12,5,38M,Incubator/Accelerator - II,,"March 17, 2020",,,,
Cyclic Materials,https://cyclicmaterials.earth,14,6,79.08M,Series B,53M,"September 25, 2024",,,,
Twin Health,https://twinhealth.com,10,7,248.56M,Series D,50M,"December 13, 2023",$740M,December 2021,,
EarnUp,https://earnup.com,15,9,72.9M,Series C,31M,"March 15, 2022",,,,
Flare,https://theflareapp.com,1,,,Seed VC,,"July 19, 2022",,,,
Air Protein,https://airprotein.com,14,5,32.11M,Incubator/Accelerator,,"May 1, 2024",,,,
Evolve,https://evolveapp.com,2,3,330K,Acquired,,"August 25, 2017",,,,
Silverfort,https://silverfort.com,12,5,222.6M,Series D,116M,"January 23, 2024",$100M,April 2022,,
FanAI,https://fanai.io,23,6,13.01M,Loan,0.68M,"April 13, 2020",,,,
BeAM,https://beam-machines.fr,7,3,4.49M,Acquired,,"June 15, 2018",,,,
SVT Robotics,https://svtrobotics.com,10,7,30.6M,Series A,25M,"November 16, 2021",,,,
Nagi Bioscience,https://nagibio.ch,12,9,15.9M,Series A,14M,"September 28, 2023",,,,
BeeLine,https://beeline.co,5,3,1.9M,Angel - II,1.11M,"August 2, 2022",,,,
Umaro Foods,https://umarofoods.com,10,4,7.85M,Seed VC - II,3.8M,"March 6, 2024",,,,
Enhatch,https://enhatch.com,9,9,10.09M,Series A,9M,"December 11, 2020",,,,
Makeblock,https://makeblock.com,12,11,84.12M,Crowdfunding - IV,2.58M,"March 11, 2022",$365.31M,August 2018,,
NetraDyne,https://netradyne.com,6,7,262.52M,Series C - II,,"May 17, 2023",,,,
401GO,https://401go.com,6,4,15.08M,Series A,12M,"March 29, 2024",,,,
Agricarbon,https://agricarbon.co.uk,7,2,11.45M,Incubator/Accelerator,,"March 14, 2024",,,,
AgendaPro,https://agendapro.com,6,9,7.55M,Series A - IV,1.5M,"July 1, 2024",,,,
UCAN,https://ucanchicago.org,1,1,50K,Grant,0.05M,"November 10, 2022",,,,
Enode,https://enode.com,12,3,17.13M,Series A,15M,"November 1, 2022",,,,
Hashnode,https://hashnode.com,15,3,8.8M,Series A,6.7M,"August 18, 2021",,,,
Tookitaki,https://tookitaki.com,28,15,20.54M,Corporate Majority,,"April 19, 2022",,,,
Modulr,https://modulr.fr,1,,,Other Investors,,,,,,
Medivis,https://medivis.com,10,3,44.31M,Series A,20M,"June 13, 2023",,,,
Seismos,https://seismos.com,9,4,29.92M,Series C,15M,"July 10, 2024",,,,
PocketNest,https://pocketnest.com,6,8,9.81M,Seed - III,,"June 6, 2023",,,,
Autify,https://autify.com,18,5,26.05M,Series B,13M,"May 17, 2024",$50M,October 2021,,
AccelByte,https://accelbyte.io,7,2,70M,Series B,60M,"April 22, 2022",,,,
Balbix,https://balbix.com,15,3,98.6M,Series C,70M,"March 1, 2022",,,,
Eventus,https://eventus.com,9,8,62.43M,Debt - III,5.35M,"January 16, 2024",,,,
Immersed,https://immersed.com,5,5,3.17M,Acq - Pending,,"August 9, 2023",,,,
Great Bay Bio,https://greatbay-bio.com,10,3,28.8M,Series A - II,15M,"September 13, 2022",,,,
Aerodome,https://aerodome.com,10,2,28M,Series A,21.5M,"May 22, 2024",,,,
AeroShield,https://aeroshield.tech,14,19,27.91M,Seed VC - II,5M,"July 29, 2024",,,,
Fiture,https://fiture.com,15,4,391M,Series B,300M,"April 14, 2021",,,,
UPWARDS,https://,1,,,Angel,,"November 11, 2019",,,,
Roslin Technologies,https://roslintech.com,13,7,26.03M,Unattributed VC,,"June 16, 2023",,,,
Aspiration,https://aspiration.com,39,7,517M,Private Equity,315M,"December 15, 2021","$2,300M",August 2021,,
Wrapbook,https://wrapbook.com,13,4,150.6M,Series C,20M,"September 24, 2024","$1,000M",November 2021,,
Attest,https://askattest.com,11,7,101.1M,Incubator/Accelerator,,"March 3, 2022",,,,
Pearl Street Technologies,https://pearlstreettechnologies.com,4,5,4.04M,Seed VC,2.82M,"April 1, 2022",,,,
Captions,https://captions.ai,21,3,97.5M,Series C,60M,"July 9, 2024",,,,
dWallet Labs,https://dwalletlabs.com,16,2,5M,Pre-Seed,5M,"August 18, 2022",,,,
Mercato,https://mercato.com,7,8,47.63M,Series B,,"July 12, 2023",,,,
InterCloud,https://intercloud.com,11,4,155.63M,Series D,114.43M,"February 15, 2022",,,,
Crossover,https://crossovermarkets.com,13,3,18.35M,Series A,12M,"June 26, 2024",,,,
PocketLaw,https://pocketlaw.com,7,3,13.23M,Series A,10.54M,"May 9, 2022",,,,
Volocopter,https://volocopter.com,32,7,564.56M,Series E - II,,"June 4, 2024","$1,943.8M",March 2023,,
Forum Mobility,https://forummobility.com,7,3,22.5M,Series A - II,,"October 9, 2024",,,,
Neosync,https://neosync.dev,2,2,500K,Convertible Note,0.5M,"September 7, 2022",,,,
Degreed,https://degreed.com,14,20,436.86M,Series D - II,50.94M,"February 17, 2023","$1,400M",April 2021,,
Ample,https://ample.com,15,7,281.8M,Grant,,"February 28, 2023",$890M,August 2021,,
Haiper,https://haiper.ai,4,2,19.2M,Seed VC,13.8M,"March 5, 2024",,,,
Oradian,https://oradian.com,12,6,190K,Private Equity,,"February 23, 2018",,,,
SODA,https://so-da.co.jp,3,,,Corporate Minority,,"May 17, 2019",,,,
Matillion,https://matillion.com,12,10,310.32M,Series E - IV,,"November 9, 2022","$1,500M",September 2021,,
DRUID,https://,1,,,Incubator/Accelerator,,"April 27, 2017",,,,
Podimo,https://podimo.com,10,7,254.73M,Series B - IV,48.15M,"December 21, 2023",,,,
Fooda,https://fooda.com,5,6,38.68M,Unattributed,7.75M,"November 15, 2023",,,,
TympaHealth,https://tympahealth.com,18,4,31M,Series A,23M,"April 26, 2023",,,,
Navattic,https://navattic.com,4,2,1.33M,Seed VC,1.2M,"May 6, 2021",,,,
Doctible,https://doctible.com,8,6,5.58M,Loan,0.68M,"April 13, 2020",,,,
Fauna,https://fauna.com,20,5,59.61M,Series A - III,27M,"July 1, 2020",,,,
DJUST,https://djust.io,2,2,17.75M,Series A,13M,"June 12, 2023",,,,
Stegra,https://stegra.com,40,11,10.714B,Grant - III,118M,"September 19, 2024",,,,
Curve Health,https://curvehealth.com,11,4,21.94M,Series A - II,3.94M,"December 18, 2023",,,,
Engageli,https://engageli.com,5,2,47.5M,Series A,33M,"May 11, 2021",,,,
Awesomic,https://awesomic.com,22,6,2.93M,Seed VC - III,0.8M,"March 14, 2023",,,,
Palmetto,https://palmetto.com,15,12,674.88M,Series C - II,150M,"March 6, 2023","$1,000M",February 2022,,
Fi,https://tryfi.com,7,4,40.91M,Series B,30M,"February 25, 2021",,,,
Wrench,https://wrench.com,13,11,93.42M,Debt,40M,"August 7, 2023",,,,
OpenClassrooms,https://openclassrooms.com,9,5,149.69M,Series C,80M,"April 27, 2021",,,,
Quadratic,https://quadratichq.com,9,3,10.61M,Seed VC,5.6M,"April 2, 2024",,,,
Zerocater,https://zerocater.com,16,6,36.12M,Series C,15M,"February 16, 2023",,,,
Pulmocide,https://pulmocide.com,14,5,205.33M,Series C - II,52M,"December 6, 2022",,,,
M80,https://m80.gg,3,1,3M,Seed VC,3M,"May 31, 2023",,,,
OLIO,https://olioapp.com,23,8,51.3M,Incubator/Accelerator - IV,,"October 4, 2022",,,,
Pexapark,https://pexapark.com,10,8,41.65M,Series C,21.15M,"September 26, 2023",,,,
GoSats,https://gosats.io,23,6,5.75M,Seed VC - II,4M,"June 1, 2022",,,,
Atlas AI,https://atlasai.co,4,4,8.22M,Grant - II,1M,"December 15, 2020",,,,
TruKKer,https://trukker.com,23,11,233.11M,Series C,100M,"September 7, 2022",,,,
Sensos,https://sensos.io,5,2,20M,Series A,20M,"February 7, 2024",,,,
Xanadu,https://xanadu.ai,24,10,267.08M,Grant - IV,,"March 11, 2024","$1,000M",November 2022,,
Aplazo,https://aplazo.mx,7,4,77.25M,Series B,45M,"May 13, 2024",,,,
CareerFairy,https://careerfairy.io,6,4,1.82M,Seed VC - II,,"September 22, 2023",,,,
Totem,https://totem.co,4,2,5.86M,Seed VC - II,4.69M,"September 29, 2020",,,,
Nullify,https://nullify.ai,9,3,4.19M,Seed VC,3.41M,"March 7, 2024",,,,
Blue Ant Media,https://blueantmedia.ca,6,4,29.8M,Unattributed VC - II,,"January 21, 2015",,,,
Aledia,https://aledia.com,15,7,331.03M,Series E,126.85M,"September 26, 2023",,,,
Onto,https://on.to,13,6,358.25M,Line of Credit,123.25M,"January 25, 2023",,,,
Sourcery,https://getsourcery.com,12,5,7.5M,Acquired,,"August 7, 2019",,,,
Whirli,https://whirli.com,2,1,5.23M,Seed VC,5.23M,"December 15, 2020",,,,
Leadsales,https://leadsales.io,13,9,4.58M,Seed VC,3.7M,"August 29, 2023",$0.79M,April 2023,,
Apolitical,https://apolitical.co,8,5,13.78M,Grant - III,2.22M,"September 23, 2024",,,,
ScorePlay,https://scoreplay.io,17,2,5.99M,Seed VC,4.97M,"July 26, 2023",$10M,July 2022,,
CredPal,https://credpal.com,16,12,16.7M,Angel,,"June 13, 2022",,,,
GyroGear,https://gyrogear.co,5,3,6.61M,Seed,4.3M,"February 26, 2021",,,,
SALT,https://cesalt.co.uk,1,,,Acquired,,"January 2, 2011",,,,
Mudstack,https://mudstack.com,6,3,4.55M,Seed VC,4M,"August 19, 2024",,,,
Cove,https://,8,2,2.1M,Acquired,,"February 27, 2012",,,,
Ema,https://emaapp.co,7,3,120K,Seed VC,,"February 22, 2024",,,,
Sunsave,https://sunsave.energy,10,4,15.14M,Grant - II,2.41M,"January 18, 2024",,,,
Mfine,https://mfine.co,22,11,118.82M,Unattributed,22.04M,"May 6, 2024",$450M,September 2021,,
Pitstop,https://getpitstop.com,13,8,10.8M,Series A - II,3.5M,"April 6, 2021",,,,
Found,https://,8,4,45M,Acquired,,"October 16, 2002",,,,
Payhawk,https://payhawk.com,15,6,236.5M,Series B - II,100M,"February 14, 2022",$570M,November 2021,,
QuestDB,https://questdb.io,19,4,14.43M,Incubator/Accelerator,,"April 24, 2024",,,,
Norbert Health,https://norberthealth.com,7,2,5M,Incubator/Accelerator,,"May 23, 2022",,,,
Procurated,https://procurated.com,3,2,12.4M,Series A,9.9M,"December 2, 2021",,,,
42Crunch,https://42crunch.com,2,1,17M,Series A,17M,"May 19, 2021",,,,
Fable,https://,2,1,1.02M,Seed VC,1.02M,"December 10, 2019",,,,
Swoop,https://swoop.com,4,7,11.6M,Spinoff / Spinout,,"September 5, 2024",,,,
Iverify,https://iverify.us,1,4,41.45M,Corporate Minority,31.3M,"June 3, 2014",,,,
GroGuru,https://groguru.com,21,16,11.42M,Series A - II,2.25M,"July 7, 2023",,,,
LiveKit,https://livekit.io,8,5,37.5M,Series A,22.7M,"June 4, 2024",,,,
Density,https://density.io,24,7,217.2M,Series D,125M,"November 10, 2021",,,,
Authlete,https://authlete.com,8,6,8.2M,Series A,4M,"April 3, 2023",,,,
Showbie,https://showbie.com,9,5,11.96M,Series A - II,,"December 31, 2020",,,,
Blackthorn,https://blackthorn.io,2,3,16M,Unattributed VC,,"November 17, 2022",$75M,June 2022,2021,4.5M
Uniform,https://uniform.it,1,,,Incubator/Accelerator,,"July 9, 2020",,,,
CoreTigo,https://coretigo.com,10,5,28.15M,Series B - III,,"June 29, 2023",,,,
Zoios,https://zoios.io,2,2,1.2M,Seed VC,1.07M,"May 13, 2024",,,,
Privyr,https://privyr.com,8,4,6.06M,Series A,6M,"May 31, 2022",,,,
Future,https://future.co,20,6,123.3M,Series C,75M,"February 3, 2022",,,,
Planted Foods,https://plantedfoodsco.com,1,,,Other Investors,,,,,,
BetterWorks,https://betterworks.com,8,6,123.15M,Series B - III,61M,"May 18, 2021",$100M,March 2016,,
Lightmatter,https://lightmatter.co,12,8,422.18M,Series C - II,155M,"December 19, 2023",,,,
SambaNova Systems,https://sambanova.ai,11,6,1.132B,Secondary Market,,"June 30, 2023","$5,000M",April 2021,,
Qovery,https://qovery.com,6,2,4.12M,Seed VC,4M,"September 28, 2021",,,,
SevenRooms,https://sevenrooms.com,6,8,70.95M,Series C,,"March 2, 2023",,,,
Vammo,https://vammo.com,9,6,43.9M,Debt,5.4M,"July 16, 2024",,,,
Kate Farms,https://katefarms.com,15,6,195.35M,Series C,75M,"September 19, 2022",,,,
AirHelp,https://airhelp.com,15,5,16.82M,Series B,,"October 20, 2017",,,,
GenEdit,https://genedit.com,17,5,37.08M,Corporate Minority,1.7M,"February 28, 2023",,,,
Netography,https://netography.com,7,4,47.85M,Series A,45M,"November 15, 2021",,,,
SpeQtral,https://speqtral.space,7,4,10.7M,Series A,8.3M,"August 9, 2021",,,,
SkySpecs,https://skyspecs.com,19,12,119.95M,Series D,80M,"May 12, 2022",,,,
Heetch,https://heetch.com,10,5,73.73M,Series B - II,4M,"November 18, 2019",$150M,May 2019,,
ACTO,https://acto.com,13,4,41.3M,Series C,10M,"September 12, 2024",,,,
Tebra,https://tebra.com,9,3,72M,Debt,72M,"July 7, 2022","$1,000M",July 2022,,
zolostays,https://zolostays.com,11,4,98M,Series C,56M,"July 7, 2020",,,,
Cameo,https://cameo.com,20,6,203.69M,Series C - III,25.09M,"March 22, 2024","$1,000M",March 2021,2020,25M
Curebase,https://curebase.com,9,9,58.13M,Series B,40M,"May 5, 2022",,,,
Entocycle,https://entocycle.com,15,8,18.55M,Series A,5.45M,"January 23, 2023",,,,
Outschool,https://outschool.com,14,7,240.02M,Series D,110M,"October 14, 2021","$1,300M",April 2021,,
Reco,https://recokr.com,11,6,24.27M,Incubator/Accelerator,,"February 15, 2024",,,,
Finom,https://finom.co,11,4,108M,Series B,54M,"February 13, 2024",,,,
Connecteam,https://connecteam.com,8,5,157.3M,Series C,120M,"March 2, 2022",,,,
Infleet,https://infleet.com.br,14,7,4.36M,Series A,2.08M,"May 24, 2024",,,,
StructureFlow,https://structureflow.co,6,4,9.6M,Series A,6M,"May 30, 2024",,,,
Team Vitality,https://vitality.gg,4,4,98.36M,Series C,57.06M,"January 6, 2022",,,,
Origami,https://origami.co,17,5,77.49M,Acquired,,"January 23, 2020",,,,
Spare,https://spareusa.org,1,2,50K,Unattributed VC,,"February 23, 2017",,,,
Microcaps,https://microcaps.ch,9,7,16.33M,Series A,10.41M,"June 5, 2024",,,,
Conquest Planning,https://conquestplanning.com,5,3,26.01M,Series A - II,17.85M,"February 7, 2023",,,,
Bigblue,https://bigblue.co,7,2,18.64M,Series A,15M,"March 25, 2022",,,,
Productfy,https://productfy.io,6,5,18.35M,Series A,16M,"April 16, 2021",,,2021,2M
Clever Real Estate,https://listwithclever.com,9,9,16.03M,Unattributed VC,2M,"February 6, 2023",,,2021,5M
Reshape,https://reshapebiotech.com,11,4,29.23M,Series A,20M,"April 9, 2024",,,,
Anvilogic,https://anvilogic.com,13,4,84.4M,Series C,45M,"April 17, 2024",,,,
Relay,https://relayhub.com,2,,,Other Investors,,,,,,
Akia,https://akia.ai,2,3,12M,Series A - II,5M,"September 19, 2024",,,,
Solink,https://solink.com,7,5,92.97M,Series C,60M,"July 25, 2023",,,,
Tenderly,https://tenderly.co,15,3,61.9M,Series B,40M,"March 2, 2022",,,,
Capella Space,https://capellaspace.com,15,12,250.49M,Grant,15M,"August 2, 2024",,,,
Clarity Movement,https://clarity.io,9,6,16.22M,Series A - III,9.6M,"August 24, 2022",,,,
Sunfire,https://sunfire.de,25,14,1.051B,Loan,108.56M,"March 5, 2024",,,,
Stacklet,https://stacklet.io,9,4,36.9M,Series B,14.5M,"June 4, 2024",,,,
Gremlin,https://gremlin.com,3,2,25.5M,Series B,18M,"September 28, 2018",,,,
Algama,https://algama.fr,3,2,7.16M,Series B,3.4M,"September 11, 2019",,,,
Taranis,https://taranis.com,33,10,99.5M,Series D,40M,"September 7, 2022",,,,
Adapdix,https://adapdix.com,7,5,8.4M,Incubator/Accelerator - II,,"March 17, 2022",,,,
ReCharge,https://recharge.id,3,,,Seed VC - II,,"April 22, 2020",,,,
Coin Metrics,https://coinmetrics.io,20,5,64.63M,Series C - II,6.73M,"October 18, 2023",,,,
Hivemapper,https://hivemapper.com,18,5,21.4M,Merger,,"April 30, 2024",,,,
Truework,https://truework.com,22,8,129.21M,Corporate Minority,24M,"January 1, 2023",$460M,August 2022,,
Gropyus,https://gropyus.com,12,7,293.34M,Series C,109.67M,"October 7, 2024",,,,
Vestwell,https://vestwell.com,26,6,240M,Series D,125M,"December 21, 2023",$320M,July 2021,,
AcuityMD,https://acuitymd.com,7,3,83M,Series B,45M,"June 4, 2024",,,,
MindsDB,https://mindsdb.com,12,7,52.2M,Series A - III,,"August 8, 2023",,,,
Mozper,https://mozper.com,22,6,7.63M,Seed VC - III,0.98M,"September 30, 2024",$25M,November 2020,,
Legistify,https://legistify.com,11,5,5M,Series A,4M,"September 25, 2023",,,,
Gamezop,https://gamezop.co,10,2,4.65M,Series A,4.3M,"August 27, 2020",,,,
PABLO AIR,https://pabloair.com,15,8,28.41M,Incubator/Accelerator - II,,"May 21, 2024",,,,
Applied Intuition,https://appliedintuition.com,32,7,590M,Secondary Market,300M,"July 25, 2024","$6,000M",March 2024,,
Doppler,https://doppler.gr,1,,,Growth Equity,,"May 5, 2005",,,,
Pyka,https://flypyka.com,15,7,95.12M,Series B,40M,"September 23, 2024",$16M,August 2017,,
Refraction AI,https://refraction.ai,7,2,4.2M,Seed VC - II,4.2M,"March 8, 2021",,,,
Datia,https://datia.app,8,5,3.5M,Seed VC,3.4M,"June 7, 2022",$2.09M,May 2022,,
Immuneel Therapeutics,https://immuneel.com,5,4,27M,Series A - II,12M,"July 9, 2024",,,,
Nabis,https://nabis.com,17,6,33.4M,Series B,23M,"July 1, 2021",,,,
AI Rudder,https://airudder.com,13,4,60M,Series B,50M,"March 8, 2022",,,,
HILOS,https://hilos.co,10,5,7.03M,Seed VC - II,3M,"March 13, 2023",,,,
WeFunder,https://wefunder.com,17,18,25.64M,Convertible Note,2.13M,"March 22, 2024",,,,
ABK Biomedical,https://abkbiomedical.com,7,5,63.69M,Series C,30M,"September 23, 2022",$2.5M,May 2014,,
UbiQD,https://ubiqd.com,21,22,22.72M,Series B,5.45M,"June 14, 2024",,,,
Stable Money,https://stablemoney.in,10,3,24.28M,Series A - III,14.74M,"July 21, 2024",$16.34M,February 2023,,
Aiera,https://aiera.com,7,6,19.92M,Series B - III,1.02M,"August 1, 2024",,,,
Local Logic,https://locallogic.co,13,5,20.05M,Series B,13M,"August 2, 2023",,,,
Scentbird,https://scentbird.com,22,10,24.06M,Unattributed VC,0.82M,"November 8, 2023",,,,
Pontem Network,https://pontem.network,24,2,10.5M,Series A,6M,"January 11, 2024",,,,
Spice AI,https://spiceai.io,12,4,15.12M,Seed VC,13.5M,"September 7, 2022",,,,
Goody,https://ongoody.com,12,3,32.1M,Series A - II,15M,"November 17, 2021",,,,
PLUS,https://plusllc.net,1,,,Acquired,,"January 27, 2016",,,,
Spoon Labs,https://spooncast.net,13,7,148.77M,Corporate Minority,89.61M,"September 11, 2024",$257.29M,December 2019,,
HighLife,https://highlifemedical.com,7,3,55.59M,Series B,36.43M,"January 17, 2019",,,,
Alkemi,https://alkemi.network,1,1,120K,Seed,0.12M,"February 5, 2019",,,,
Stem,https://stem.com,23,18,430.5M,Reverse Merger,,"April 28, 2021",,,,
Apptegy,https://apptegy.com,2,4,19.99M,Debt,,"October 21, 2020",,,,
Vannevar Labs,https://vannevarlabs.com,7,3,91.1M,Series B,75M,"January 18, 2023",,,,
Gotrade,https://heygotrade.com,18,2,22.5M,Series A,15.5M,"January 20, 2022",,,,
Meter Feeder,https://meterfeeder.com,6,7,3.27M,Incubator/Accelerator - II,,"December 4, 2023",,,,
Datamaran,https://datamaran.com,7,4,50.8M,Series C,33M,"September 19, 2024",,,,
Zippia,https://zippia.com,7,7,11.01M,Incubator/Accelerator,,"April 11, 2022",,,,
Ambience,https://ambiencehealthcare.com,6,5,70M,Series B,70M,"February 6, 2024",$126M,January 2022,,
Keeper Security,https://keepersecurity.com,2,2,60M,Growth Equity - II,,"May 9, 2023",,,,
Red Rover,https://redroverhq.com,1,1,20K,Seed,0.02M,"January 12, 2011",,,,
Noodle,https://noodle.cx,4,3,4.78M,Seed VC - II,0.91M,"September 20, 2024",,,,
Dailymealz,https://dailymealz.com,5,2,7.3M,Seed VC - II,5.3M,"March 29, 2022",,,,
Topography Health,https://jointopo.com,7,4,27.35M,Series A,21.5M,"January 20, 2022",,,,
NuBrakes,https://nubrakes.com,6,2,9.72M,Series A,9M,"December 1, 2021",,,,
