name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Zuddl,https://zuddl.com,5,3,15.48M,Series A,13.35M,"December 3, 2021",,,,
BeAM,https://beam-machines.fr,7,3,4.49M,Acquired,,"June 15, 2018",,,,
RaySecur,https://raysecur.com,9,6,23.78M,Series A - II,6.5M,"June 25, 2024",,,,
Clue,https://helloclue.com,28,12,81.98M,Angel,9.3M,"April 4, 2023",,,,
Ocient,https://ocient.com,17,10,156.7M,Series B - IV,49.4M,"February 13, 2024",,,,
Haber,https://haberwater.com,8,3,64.73M,Series C,37.73M,"October 11, 2024",,,,
Netskope,https://netskope.com,19,11,1.441B,Convertible Note,401M,"January 5, 2023","$7,500M",July 2021,,
Contingent,https://contingent.ai,9,4,10.53M,Series A,8.14M,"March 16, 2022",,,,
Justworks,https://justworks.com,9,7,159.8M,Unattributed,16.8M,"November 2, 2023",$183.01M,March 2016,,
Train Fitness,https://trainfitness.ai,13,4,3.49M,Seed VC - II,2.5M,"June 21, 2023",,,,
newcleo,https://newcleo.com,10,3,584.81M,Series A - II,150.81M,"September 30, 2024",,,,
Ozlo Sleep,https://ozlosleep.com,3,2,10M,Incubator/Accelerator,,"May 29, 2024",,,,
Hemper,https://hemper.es,2,2,310K,Angel,0.31M,"November 12, 2019",,,,
oVice,https://ovice.com,11,4,50.71M,Series B,32.5M,"August 31, 2022",,,,
Simple,https://simple.com,12,7,15.35M,Dead,,"January 7, 2021",$117M,March 2014,,
Cradle,https://cradle.bio,7,2,29.7M,Series A,24M,"November 27, 2023",,,,
Affinity,https://affinity.co,15,4,120M,Series C,80M,"September 9, 2021",,,,
Vitestro,https://vitestro.com,6,4,34.9M,Series A - II,22M,"April 30, 2024",,,,
Greywing,https://grey-wing.com,9,5,2.63M,Seed VC,2.5M,"October 8, 2021",,,,
Quintessent,https://quintessent.com,7,6,18.5M,Seed VC - III,11.6M,"October 26, 2023",,,,
Local Infusion,https://mylocalinfusion.com,4,3,14M,Series A,10M,"November 29, 2023",,,,
mPharma,https://mpharma.com,22,11,88.54M,Series E,13.67M,"January 30, 2024",,,,
Kalderos,https://kalderos.com,3,3,49.93M,Unattributed,14.93M,"September 9, 2022",,,,
Idoven,https://idoven.ai,25,15,23.11M,Incubator/Accelerator - V,,"November 27, 2023",,,,
Shellworks,https://shellworks.com,10,2,6.2M,Incubator/Accelerator,,"March 14, 2024",,,,
Klearly,https://klearly.nl,2,2,2.24M,Seed VC - II,2.24M,"May 31, 2023",,,,
Poolside,https://poolside.ai,23,3,626M,Series B,500M,"October 2, 2024",,,,
nextProtein,https://nextprotein.co,12,3,12.58M,Series A,11.2M,"May 20, 2020",,,,
FarmHQ,https://farmhq.com,5,2,2.95M,Seed VC - II,0.75M,"February 26, 2024",,,,
Smartrr,https://smartrr.com,6,4,17.3M,Series A,10M,"January 18, 2023",$77.3M,November 2020,,
Constrafor,https://constrafor.com,12,6,113.88M,Convertible Note - II,7.5M,"April 24, 2023",,,,
NuView,https://nuview.com,1,,,Other Investors,,,,,,
Duetti,https://duetti.co,8,4,129M,Line of Credit,75M,"February 15, 2024",,,,
Deepwave Digital,https://deepwavedigital.com,6,3,5.15M,Debt,2.13M,"April 12, 2024",,,,
Mercaux,https://mercaux.com,7,10,23.37M,Series B,14.1M,"November 30, 2022",,,,
Abata Therapeutics,https://abatatx.com,7,4,155.33M,Corporate Minority,,"August 15, 2024",,,,
Virgil,https://wearevirgil.com,13,3,21.47M,Series A,15.52M,"November 17, 2022",,,,
Foresight Diagnostics,https://foresight-dx.com,7,3,104.25M,Series B - II,33M,"July 30, 2024",,,,
LALO,https://lalo.com,,1,710K,Unattributed,0.71M,"November 12, 2013",,,,
PlanRadar,https://planradar.com,10,3,103.4M,Series B,70M,"January 20, 2022",,,,
SuperMeat,https://supermeat.com,9,6,14M,Grant,,"June 7, 2022",,,,
Pando,https://,23,4,4.2M,Acquired,,"October 23, 2019",,,,
Mate Fertility,https://matefertility.com,22,3,8M,Incubator/Accelerator,,"January 18, 2023",,,,
Back Market,https://backmarket.com,13,7,1.021B,Series E,510M,"January 11, 2022","$3,200M",May 2021,,
Revuze,https://revuze.it,9,3,21.1M,Growth Equity,12M,"November 3, 2022",,,,
Intento,https://inten.to,11,5,11.52M,Series A,8.31M,"May 15, 2023",,,,
Altoida,https://altoida.com,15,8,21.53M,Series A - III,14M,"March 30, 2022",,,,
UserGems,https://usergems.com,11,4,22.4M,Series A,20M,"October 26, 2021",,,,
WORLDS,https://worlds.org,1,,,Other Investors,,,,,,
Vectorious Medical Technologies,https://vectoriousmedtech.com,16,5,16.7M,Incubator/Accelerator,,"June 17, 2019",,,,
Faro,https://farohealth.com,5,3,38.3M,Series A - II,20M,"February 8, 2023",,,,
SkyRyse,https://skyryse.com,25,8,260.02M,Series B,205M,"October 27, 2021",,,,
Republic,https://republicworld.com,2,2,4.4M,Unattributed,4.4M,"January 14, 2017",,,,
Phytolon,https://phytolon.com,16,5,19.06M,Series A - II,,"October 5, 2023",,,,
Fasset,https://fasset.co.uk,1,,,Acquired,,"May 3, 2019",,,,
Inspectify,https://getinspectify.com,11,2,8.13M,Series A,8M,"December 1, 2021",,,,
Hangry,https://gethangry.com,2,,,Acquired,,"July 13, 2022",,,,
PadSplit,https://padsplit.com,15,6,35.9M,Series B,20.5M,"November 1, 2021",,,,
Magic,https://getmagic.com,2,2,120K,Series A,,"May 1, 2015",,,,
AllVoices,https://allvoices.co,7,2,13.73M,Series A,9.6M,"August 24, 2021",,,,
NewCampus,https://newcampus.co,7,5,500K,Seed - II,,"January 11, 2021",,,,
AgentSync,https://agentsync.io,12,5,161.1M,Series B - II,50M,"October 26, 2023","$1,200M",December 2021,2019,1.9M
Aurora Labs,https://auroralabs3d.com,1,,,PIPE,1.82M,"February 13, 2020",,,,
Elyos Energy,https://elyosenergy.com,3,2,3.54M,Seed VC,3.04M,"October 13, 2023",,,,
Bitwave,https://bitwave.io,13,4,22.4M,Grant,,"October 1, 2024",,,,
VendorPM,https://vendorpm.com,10,4,26.49M,Series A,20M,"August 23, 2022",,,,
Red Points,https://redpoints.com,9,8,102.94M,Series C - II,20M,"November 14, 2022",,,,
Betterplace,https://betterplaceapp.com,1,1,20K,Seed,0.02M,"September 13, 2016",,,,
Ganymede,https://ganymede.bio,3,2,15.65M,Series A,12.75M,"December 20, 2022",,,,
OrCam Technologies,https://orcam.com,6,5,77.4M,Incubator/Accelerator,,"December 15, 2019","$1,030.4M",February 2018,2017,10M
InnovaFeed,https://innovafeed.com,19,8,470.41M,Series D,250M,"September 20, 2022",,,,
Drapr,https://drapr.com,3,3,630K,Acquired,,"August 26, 2021",,,,
Algorithmics,https://algorithmics.com,5,4,36.64M,Acquired - III,,"December 2, 2019",$387M,September 2011,,
Recyclops,https://recyclops.com,9,6,3.2M,Seed VC - II,0.2M,"September 1, 2024",,,,
Cabify,https://cabify.com,34,19,623.46M,Series F - II,21.39M,"June 14, 2024",,,,
Yellowheart,https://yh.io,3,4,1.2M,Series A,,"October 22, 2019",,,,
Evozyne,https://evozyne.com,5,4,162.83M,Series B,81M,"September 28, 2023",,,,
Axela Technologies,https://axela-tech.com,1,2,4.98M,Series A,4M,"January 19, 2021",,,,
Sintavia,https://sintavia.com,4,6,25.68M,Corporate Minority - III,,"June 27, 2023",,,,
EVMatch,https://evmatch.com,1,1,50K,Grant,0.05M,"April 10, 2018",,,,
SecFi,https://secfi.com,8,3,557M,Line of Credit,550M,"January 14, 2020",,,,
Corti,https://corti.ai,12,6,87.16M,Series B,60M,"September 20, 2023",,,,
Groyyo,https://groyyo.com,18,4,50M,Debt - II,5.4M,"January 18, 2024",,,2023,192.33M
EndoSpan,https://endospan.com,4,4,10M,Loan,,"July 2, 2024",,,,
SpotOn,https://spoton.com,16,10,900M,Series F,300M,"May 18, 2022","$3,150M",September 2021,,
Tracksmith,https://tracksmith.com,9,4,5.7M,Unattributed VC,,"January 1, 2017",,,,
Kinara Capital,https://kinaracapital.com,13,11,158.99M,Debt - IV,24.4M,"May 3, 2024",,,,
Allium,https://alliumit.com,1,,,Other Investors,,,,,,
TXOne Networks,https://txone.com,19,4,144.69M,Series B - II,51M,"May 7, 2024",,,,
GameTree,https://gametree.me,13,5,2.35M,Seed VC - II,1.7M,"December 4, 2023",,,,
FloCareer,https://flocareer.com,5,2,5.85M,Series A,5.7M,"October 12, 2021",,,,
Atakama,https://atakama.com,2,2,680K,Loan,0.68M,"April 7, 2020",,,,
Ogury,https://ogury.com,4,5,91.5M,Series C,50M,"December 5, 2019",,,2018,100.24M
Movable Ink,https://movableink.com,22,6,97.56M,Series D,55M,"April 28, 2022",,,,
RudderStack,https://rudderstack.com,6,4,82M,Series B,56M,"February 2, 2022",,,,
Atrato,https://atratoinc.com,6,3,18M,Dead,,"December 22, 2010",,,,
